label,synonym,attnMap,sim_score,position,first
person,redhead,0.17873764,53.56,1,same
person,perspirer,0.09087827,19.24,2,horse
person,partner,0.1645725,17.37,2,horse
person,interpreter,0.1298154,16.7,2,horse
person,nonpartisan,0.14052792,14.64,2,horse
person,applicant,0.123352766,14.45,2,horse
person,saluter,0.14385551,14.45,2,horse
person,celebrant,0.15581565,13.7,2,horse
person,six-footer,0.114250995,12.28,2,horse
person,combatant,0.17048332,11.79,2,horse
person,toreador,0.14782664,10.85,2,horse
person,adoptee,0.14148931,10.55,2,horse
person,carrottop,0.1487068,10.4,2,horse
person,brunet,0.09105072,9.69,2,horse
person,owner,0.17216133,9.16,2,horse
person,candidate,0.11512552,8.41,2,horse
person,orphan,0.12001047,8.06,2,horse
person,welcomer,0.14310572,7.6,2,horse
person,appointee,0.12175238,6.38,2,horse
person,ladino,0.2045124,6.29,2,horse
person,native,0.17388713,6.11,2,horse
person,nonparticipant,0.12274713,6.02,2,horse
person,inhabitant,0.15985064,6.02,2,horse
person,extravert,0.10285744,5.94,2,horse
person,proponent,0.15024371,5.76,2,horse
person,imitator,0.111662924,5.68,2,horse
person,demander,0.13391723,5.51,2,horse
person,vanisher,0.10064937,5.35,2,horse
person,traveller,0.17445435,5.35,2,horse
person,abjurer,0.13170587,5.28,2,horse
person,neighbor,0.15714124,5.2,2,horse
person,percher,0.08797999,5.04,2,horse
person,pamperer,0.10979933,5.04,2,horse
person,affiant,0.09302447,5.04,2,horse
person,recoverer,0.10533104,5.04,2,horse
person,indigen,0.10929811,4.9,2,horse
person,antagonist,0.08568064,4.82,2,horse
person,indweller,0.09305021,4.48,2,horse
person,contriver,0.10171426,4.48,2,horse
person,female,0.10438228,4.28,2,horse
person,miracle_worker,0.1602757,4.1,2,horse
person,applier,0.08524516,4.1,2,horse
person,nonworker,0.0839451,4.03,2,horse
person,married,0.14838463,3.97,2,horse
person,free_spirit,0.1300688,3.97,2,horse
person,survivor,0.15497738,3.92,2,horse
person,individual,0.09931492,3.86,2,horse
person,fighter,0.12282471,3.8,2,horse
person,relation,0.11342246,3.8,2,horse
person,nonpartizan,0.10297199,3.74,2,horse
person,hoper,0.098686844,3.74,2,horse
person,image,0.10690069,3.69,2,horse
person,registrant,0.29278588,3.63,2,horse
person,balker,0.09281037,3.58,2,horse
person,advocate,0.09836356,3.52,2,horse
person,gatekeeper,0.11710507,3.52,2,horse
person,maimer,0.105032235,3.52,2,horse
person,posturer,0.12103281,3.52,2,horse
person,advocator,0.100985564,3.47,2,horse
person,indigene,0.079781756,3.42,2,horse
person,bereaved_person,0.14789996,3.42,2,horse
person,commoner,0.12544996,3.42,2,horse
person,venturer,0.110568345,3.32,2,horse
person,essayer,0.11921616,3.32,2,horse
person,persona_non_grata,0.17019139,3.32,2,horse
person,romanticist,0.13209976,3.22,2,horse
person,acquaintance,0.11543708,3.17,2,horse
person,Native_American,0.17680834,3.17,2,horse
person,traveler,0.19066222,3.17,2,horse
person,pardoner,0.121528976,3.12,2,horse
person,nonmember,0.08889187,2.98,2,horse
person,chutzpanik,0.13810778,2.98,2,horse
person,deliverer,0.092504434,2.94,2,horse
person,personage,0.09192912,2.89,2,horse
person,blackamoor,0.12748249,2.89,2,horse
person,nonresident,0.093373895,2.89,2,horse
person,spousal_equivalent,0.13533847,2.89,2,horse
person,mollycoddler,0.10217688,2.85,2,horse
person,birth,0.16836238,2.85,2,horse
person,bereaved,0.19603992,2.85,2,horse
person,neighbour,0.14963455,2.81,2,horse
person,forgiver,0.0914684,2.72,2,horse
person,gatherer,0.11127688,2.72,2,horse
person,nurser,0.14342375,2.68,2,horse
person,needer,0.07869273,2.68,2,horse
person,dyslectic,0.11610585,2.64,2,horse
person,contemplative,0.17414618,2.64,2,horse
person,relative,0.08589194,2.6,2,horse
person,large_person,0.20997602,2.6,2,horse
person,ethnic,0.14009981,2.6,2,horse
person,manipulator,0.07147035,2.52,2,horse
person,huddler,0.13897163,2.49,2,horse
person,victim,0.113997966,2.49,2,horse
person,mother_hen,0.15162313,2.49,2,horse
person,neglecter,0.11956472,2.49,2,horse
person,beguiler,0.16469938,2.45,2,horse
person,powderer,0.1098218,2.45,2,horse
person,voider,0.06249835,2.45,2,horse
person,person_of_color,0.12719901,2.45,2,horse
person,socialiser,0.11323772,2.38,2,horse
person,blond,0.13324046,2.3,2,horse
person,capturer,0.14116848,2.3,2,horse
person,gambler,0.21841675,2.23,2,horse
person,abstainer,0.097814,2.2,2,horse
person,active,0.09480641,2.2,2,horse
person,mover_and_shaker,0.13774663,2.17,2,horse
person,totemist,0.12577395,2.17,2,horse
person,propositus,0.08608289,2.17,2,horse
person,loved_one,0.15843195,2.17,2,horse
person,insured_person,0.17727794,2.13,2,horse
person,White,0.16267392,2.1,2,horse
person,linguist,0.105272636,2.1,2,horse
person,segregate,0.13916916,2.1,2,horse
person,baby_boomer,0.11357777,2.07,2,horse
person,snuffler,0.108714424,2.07,2,horse
person,closer,0.096284814,2.01,2,horse
person,witness,0.15390176,2.01,2,horse
person,onanist,0.10415816,2.01,2,horse
person,charmer,0.121638134,1.98,2,horse
person,grunter,0.10080261,1.98,2,horse
person,baldpate,0.069021925,1.98,2,horse
person,Bull,0.15172718,1.98,2,horse
person,granter,0.11225319,1.95,2,horse
person,namesake,0.10044812,1.92,2,horse
person,debitor,0.11889126,1.89,2,horse
person,adult,0.10215093,1.89,2,horse
person,public_relations_person,0.1149424,1.89,2,horse
person,have,0.09742645,1.89,2,horse
person,pursuer,0.12742588,1.89,2,horse
person,domestic_partner,0.12419155,1.86,2,horse
person,adjudicator,0.082905635,1.86,2,horse
person,denizen,0.17380734,1.83,2,horse
person,wealthy_person,0.18981795,1.8,2,horse
person,precursor,0.08589943,1.8,2,horse
person,apprehender,0.10141459,1.78,2,horse
person,transfer,0.16460091,1.78,2,horse
person,socializer,0.16439413,1.75,2,horse
person,creditor,0.08920837,1.75,2,horse
person,unwelcome_person,0.12578845,1.72,2,horse
person,baulker,0.09880659,1.7,2,horse
person,stigmatic,0.113701604,1.7,2,horse
person,coddler,0.08122165,1.67,2,horse
